K,Mode,Time,ObjFun
8,2,183.091507,548020.312500
8,3,90.685074,548020.312500
8,0,62.214725,605923.375000
8,1,0.174234,605923.375000
8,2,136.579697,605923.375000
8,3,106.380325,605923.375000
8,0,51.199894,547923.625000
8,1,0.174831,547923.625000
8,2,45.943684,547923.625000
8,3,41.777573,547923.625000
8,0,60.012001,624088.687500
8,1,0.175781,624088.687500
8,2,44.503952,624088.687500
8,3,12.120480,624088.687500
8,0,98.262383,6904764.000000
8,1,0.179482,6904764.000000
8,2,85.452744,6904764.000000
8,3,39.137791,6904764.000000
8,0,45.551773,508687.781250
8,1,0.178365,508687.781250
8,2,60.671749,508687.781250
8,3,27.109491,508687.781250
8,0,36.634884,605685.000000
8,1,0.172658,605685.000000
8,2,21.228197,605685.000000
8,3,17.823198,605685.000000
9,0,92.608078,526744.750000
9,1,0.196035,526744.750000
9,2,177.983215,526744.750000
9,3,107.017944,526744.750000
9,0,73.001617,605950.062500
9,1,0.203930,605950.062500
9,2,26.278372,605950.062500
9,3,23.737244,605950.062500
9,0,158.097763,548193.625000
9,1,0.200350,548193.625000
9,2,76.578407,548193.625000
9,3,12.952089,548193.625000
10,0,89.488045,565809.562500
10,1,0.222981,565809.562500
10,2,93.691208,565809.562500
10,3,56.217072,565809.562500
